campus,building_name,location,mercator_coordinates
SBU WEST,"Library, Health Sciences",MULTIPOINT((40.910063519486656 -73.11683113979603)),MULTIPOINT ((-8139328.409766859 4999085.089664644))
SBU WEST,"Library, Math, Physics, and Astronomy",MULTIPOINT((40.91620270241176 -73.12601679827783)),MULTIPOINT ((-8140350.952591512 4999989.426925735))
SBU WEST,"Library, Music",MULTIPOINT((40.91571087216154 -73.12294497539952)),MULTIPOINT ((-8140008.998832938 4999916.974382124))
SBU WEST,Life Sciences,"MULTIPOINT((40.911711076774594 -73.12040259128905), (40.91149113413189 -73.11976034186004))","MULTIPOINT ((-8139725.9819284 4999327.776167475), (-8139654.48704901 4999295.378090986))"
SBU WEST,Light Engineering,"MULTIPOINT((40.91328139791504 -73.12539266788004), (40.91378061880956 -73.12522351558898))","MULTIPOINT ((-8140281.47471345 4999559.0913531035), (-8140262.644766547 4999632.629929577))"
SBU EAST,Long Island High Technology Incubator,MULTIPOINT((40.912430340115755 -73.11357296638988)),MULTIPOINT ((-8138965.711562421 4999433.726127745))
SBU EAST,Long Island State Veterans Home,MULTIPOINT((40.90565188011427 -73.10324757516814)),MULTIPOINT ((-8137816.294269536 4998435.281439138))
SBU WEST,Louis and Beatrice Laufer Center for Physical and Quantitative Biolo,MULTIPOINT((40.91172442753085 -73.12084863115493)),MULTIPOINT ((-8139775.634859135 4999329.742769222))
SBU SOUTH,Marine and Atmospheric Sciences Information Center (MASIC),MULTIPOINT((40.90461298584294 -73.118327198692)),MULTIPOINT ((-8139494.950281332 4998282.264801771))
SBU WEST,Math Tower,"MULTIPOINT((40.91590575967281 -73.12622772133287), (40.91571140963357 -73.12652942274602))","MULTIPOINT ((-8140374.432438592 4999945.68360485), (-8140408.01768627 4999917.053557961))"
SBU EAST,Medical and Research Translation (MART),MULTIPOINT((40.90883917949612 -73.11714942648763)),MULTIPOINT ((-8139363.84127929 4998904.747323922))
SBU WEST,Mendelsohn Quad,MULTIPOINT((40.918139210754745 -73.12019142693184)),MULTIPOINT ((-8139702.475219684 5000274.703262749))
SBU WEST,Mount College,MULTIPOINT((40.91159200752357 -73.12445225347832)),MULTIPOINT ((-8140176.788261131 4999310.2369690845))
